Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2006,1,13,5,813,815,951,1000,US,103,N767UW,98,105,81,-9,-2,ABE,CLT,481,6,11,0,NA,0,0,0,0,0,0
2006,1,13,5,2125,2125,2147,2158,US,211,N603AW,82,93,71,-11,0,ABQ,LAS,487,4,7,0,NA,0,0,0,0,0,0
2006,1,13,5,607,610,711,725,US,282,N309AW,64,75,53,-14,-3,ABQ,PHX,328,3,8,0,NA,0,0,0,0,0,0
2006,1,13,5,832,835,1021,1015,US,522,N634AW,109,100,66,6,-3,ABQ,PHX,328,30,13,0,NA,0,0,0,0,0,0
2006,1,13,5,1833,1805,1957,1926,US,528,N332AW,84,81,53,31,28,ABQ,PHX,328,5,26,0,NA,0,0,0,4,0,27
2006,1,13,5,1500,1505,1617,1627,US,644,N332AW,77,82,56,-10,-5,ABQ,PHX,328,6,15,0,NA,0,0,0,0,0,0
2006,1,13,5,1155,1201,1314,1322,US,767,N335AW,79,81,60,-8,-6,ABQ,PHX,328,3,16,0,NA,0,0,0,0,0,0
2006,1,13,5,813,815,1026,1026,US,441,N417US,133,131,113,0,-2,ALB,CLT,646,7,13,0,NA,0,0,0,0,0,0
2006,1,13,5,1344,1305,1610,1514,US,479,N353US,146,129,137,56,39,ALB,CLT,646,4,5,0,NA,0,6,0,17,0,33
2006,1,13,5,606,610,738,730,US,720,N427US,92,80,72,8,-4,ALB,DCA,318,1,19,0,NA,0,0,0,0,0,0
2006,1,13,5,NA,1143,NA,1300,US,1705,0,NA,77,NA,NA,NA,ALB,DCA,318,0,0,1,B,0,0,0,0,0,0
2006,1,13,5,720,730,839,841,US,1253,N781AU,79,71,71,-2,-10,ALB,PHL,212,2,6,0,NA,0,0,0,0,0,0
2006,1,13,5,1808,1805,2018,1914,US,1691,N811MD,130,69,60,64,3,ALB,PHL,212,9,61,0,NA,0,0,0,64,0,0
2006,1,13,5,113,115,900,845,US,841,N813AW,347,330,314,15,-2,ANC,PHX,2551,6,27,0,NA,0,0,0,15,0,0
2006,1,13,5,1942,1820,2128,2003,US,1638,N807MD,106,103,85,85,82,ATL,DCA,547,6,15,0,NA,0,0,0,3,0,82
2006,1,13,5,730,725,NA,900,US,1654,N817MD,NA,95,NA,NA,5,ATL,DCA,547,0,9,0,NA,1,0,0,0,0,0
2006,1,13,5,1205,1020,1331,1203,US,1662,N819MD,86,103,65,88,105,ATL,DCA,547,16,5,0,NA,0,0,0,88,0,0
2006,1,13,5,2210,2155,2331,2320,US,619,N648AW,261,265,233,11,15,ATL,LAS,1747,15,13,0,NA,0,0,0,0,0,0
2006,1,13,5,1711,1705,1919,1931,US,285,N628AW,248,266,214,-12,6,ATL,PHX,1587,12,22,0,NA,0,0,0,0,0,0
2006,1,13,5,747,745,1023,1018,US,343,N647AW,276,273,228,5,2,ATL,PHX,1587,38,10,0,NA,0,0,0,0,0,0
2006,1,13,5,1916,1915,2117,2133,US,617,N654AW,241,258,218,-16,1,ATL,PHX,1587,4,19,0,NA,0,0,0,0,0,0
2006,1,13,5,1053,1053,1258,1318,US,662,N808AW,245,265,223,-20,0,ATL,PHX,1587,10,12,0,NA,0,0,0,0,0,0
2006,1,13,5,1801,1755,1919,1933,US,300,N302AW,138,158,120,-14,6,AUS,PHX,872,9,9,0,NA,0,0,0,0,0,0
2006,1,13,5,827,832,956,1015,US,765,N175AW,149,163,124,-19,-5,AUS,PHX,872,15,10,0,NA,0,0,0,0,0,0
2006,1,13,5,625,630,820,832,US,295,N733UW,115,122,103,-12,-5,BDL,CLT,644,6,6,0,NA,0,0,0,0,0,0
2006,1,13,5,817,820,1033,1021,US,349,N163UW,136,121,108,12,-3,BDL,CLT,644,6,22,0,NA,0,0,0,0,0,0
2006,1,13,5,944,945,1150,1148,US,356,N434US,126,123,99,2,-1,BDL,CLT,644,15,12,0,NA,0,0,0,0,0,0
2006,1,13,5,1239,1245,1513,1445,US,775,N738UW,154,120,136,28,-6,BDL,CLT,644,6,12,0,NA,0,0,0,28,0,0
2006,1,13,5,1812,1645,2012,1845,US,1002,N122UW,120,120,105,87,87,BDL,CLT,644,3,12,0,NA,0,3,0,0,0,84
2006,1,13,5,1834,1835,2117,2035,US,1103,N418US,163,120,139,42,-1,BDL,CLT,644,8,16,0,NA,0,0,0,42,0,0
2006,1,13,5,1806,1725,1924,1845,US,69,N433US,78,80,61,39,41,BDL,DCA,313,7,10,0,NA,0,6,0,0,0,33
2006,1,13,5,615,620,732,743,US,1159,N183UW,77,83,61,-11,-5,BDL,DCA,313,3,13,0,NA,0,0,0,0,0,0
2006,1,13,5,1219,1125,1436,1245,US,1249,N420US,137,80,65,111,54,BDL,DCA,313,6,66,0,NA,0,0,0,65,0,46
2006,1,13,5,NA,2045,NA,2200,US,1680,0,NA,75,NA,NA,NA,BDL,DCA,313,0,0,1,B,0,0,0,0,0,0
2006,1,13,5,NA,1340,NA,1455,US,1681,0,NA,75,NA,NA,NA,BDL,DCA,313,0,0,1,C,0,0,0,0,0,0
2006,1,13,5,1610,1540,1714,1654,US,127,N107UW,64,74,49,20,30,BDL,PHL,196,5,10,0,NA,0,0,0,20,0,0
2006,1,13,5,718,730,903,845,US,277,N532AU,105,75,83,18,-12,BDL,PHL,196,10,12,0,NA,0,0,0,18,0,0
2006,1,13,5,1154,1145,1308,1259,US,637,N764UW,74,74,50,9,9,BDL,PHL,196,6,18,0,NA,0,0,0,0,0,0
2006,1,13,5,525,525,721,640,US,1658,N813MA,116,75,92,41,0,BDL,PHL,196,8,16,0,NA,0,0,0,41,0,0
2006,1,13,5,639,630,950,1021,US,419,N674AW,311,351,293,-31,9,BDL,PHX,2213,4,14,0,NA,0,0,0,0,0,0
2006,1,13,5,1533,1520,1703,1650,US,1607,N812MD,90,90,65,13,13,BDL,PIT,406,5,20,0,NA,0,0,0,0,0,0
2006,1,13,5,555,605,800,818,US,78,N588US,65,73,49,-18,-10,BNA,CLT,329,5,11,0,NA,0,0,0,0,0,0
2006,1,13,5,810,810,1033,1020,US,218,N526AU,83,70,68,13,0,BNA,CLT,329,4,11,0,NA,0,0,0,0,0,0
2006,1,13,5,1855,1830,2129,2041,US,918,N518AU,94,71,76,48,25,BNA,CLT,329,5,13,0,NA,0,0,0,41,0,7
2006,1,13,5,637,640,NA,915,US,1650,N804MD,NA,95,NA,NA,-3,BNA,DCA,562,0,14,0,NA,1,0,0,0,0,0
2006,1,13,5,829,725,1206,1021,US,1636,N811MD,157,116,134,105,64,BNA,PHL,675,13,10,0,NA,0,0,0,105,0,0
2006,1,13,5,1553,1600,1754,1806,US,678,N627AW,121,126,106,-12,-7,BOI,PHX,735,4,11,0,NA,0,0,0,0,0,0
2006,1,13,5,658,700,854,905,US,856,N828AW,116,125,101,-11,-2,BOI,PHX,735,3,12,0,NA,0,0,0,0,0,0
2006,1,13,5,1054,1100,1322,1317,US,53,N717UW,148,137,113,5,-6,BOS,CLT,728,23,12,0,NA,0,0,0,0,0,0
2006,1,13,5,1428,1415,1713,1633,US,191,N765UW,165,138,148,40,13,BOS,CLT,728,5,12,0,NA,0,13,0,27,0,0
2006,1,13,5,1240,1230,1522,1447,US,257,N762UW,162,137,141,35,10,BOS,CLT,728,3,18,0,NA,0,10,0,25,0,0
2006,1,13,5,750,745,1004,1009,US,329,N625AU,134,144,110,-5,5,BOS,CLT,728,7,17,0,NA,0,0,0,0,0,0
2006,1,13,5,612,615,837,834,US,561,N623AU,145,139,126,3,-3,BOS,CLT,728,6,13,0,NA,0,0,0,0,0,0
2006,1,13,5,1930,1835,2144,2100,US,882,N628AU,134,145,110,44,55,BOS,CLT,728,5,19,0,NA,0,0,0,0,0,44
2006,1,13,5,1103,955,1319,1215,US,1115,N522AU,136,140,114,64,68,BOS,CLT,728,3,19,0,NA,0,0,0,0,0,64
2006,1,13,5,1546,1550,1814,1814,US,1183,N532AU,148,144,118,0,-4,BOS,CLT,728,9,21,0,NA,0,0,0,0,0,0
2006,1,13,5,457,500,706,714,US,1242,N730UW,129,134,112,-8,-3,BOS,CLT,728,3,14,0,NA,0,0,0,0,0,0
2006,1,13,5,542,545,712,718,US,2021,N769UW,90,93,69,-6,-3,BOS,DCA,399,6,15,0,NA,0,0,0,0,0,0
2006,1,13,5,642,645,937,821,US,2023,N748UW,175,96,159,76,-3,BOS,DCA,399,5,11,0,NA,0,0,0,76,0,0
2006,1,13,5,NA,745,NA,926,US,2025,0,NA,101,NA,NA,NA,BOS,DCA,399,0,0,1,B,0,0,0,0,0,0
2006,1,13,5,NA,845,NA,1026,US,2027,0,NA,101,NA,NA,NA,BOS,DCA,399,0,0,1,B,0,0,0,0,0,0
2006,1,13,5,NA,945,NA,1121,US,2029,0,NA,96,NA,NA,NA,BOS,DCA,399,0,0,1,B,0,0,0,0,0,0
2006,1,13,5,NA,1045,NA,1221,US,2031,0,NA,96,NA,NA,NA,BOS,DCA,399,0,0,1,B,0,0,0,0,0,0
2006,1,13,5,NA,1145,NA,1323,US,2033,0,NA,98,NA,NA,NA,BOS,DCA,399,0,0,1,B,0,0,0,0,0,0
2006,1,13,5,1323,1245,1506,1421,US,2035,N769UW,103,96,90,45,38,BOS,DCA,399,3,10,0,NA,0,0,38,7,0,0
2006,1,13,5,1357,1345,1542,1520,US,2037,N737UW,105,95,83,22,12,BOS,DCA,399,11,11,0,NA,0,0,12,10,0,0
2006,1,13,5,1441,1445,1612,1622,US,2039,N750UW,91,97,76,-10,-4,BOS,DCA,399,4,11,0,NA,0,0,0,0,0,0
2006,1,13,5,1542,1545,1708,1725,US,2041,N716UW,86,100,69,-17,-3,BOS,DCA,399,6,11,0,NA,0,0,0,0,0,0
2006,1,13,5,1643,1645,1814,1823,US,2043,N751UW,91,98,71,-9,-2,BOS,DCA,399,4,16,0,NA,0,0,0,0,0,0
2006,1,13,5,1742,1745,1918,1927,US,2045,N749UW,96,102,69,-9,-3,BOS,DCA,399,4,23,0,NA,0,0,0,0,0,0
2006,1,13,5,2052,1845,2245,2027,US,2047,N737UW,113,102,80,138,127,BOS,DCA,399,3,30,0,NA,0,0,0,11,0,127
2006,1,13,5,2101,1945,2234,2127,US,2049,N753UW,93,102,69,67,76,BOS,DCA,399,6,18,0,NA,0,0,0,0,0,67
2006,1,13,5,643,645,956,1007,US,287,N724UW,193,202,177,-11,-2,BOS,FLL,1237,2,14,0,NA,0,0,0,0,0,0
2006,1,13,5,857,900,1136,1205,US,62,N817AW,339,365,310,-29,-3,BOS,LAS,2381,9,20,0,NA,0,0,0,0,0,0
2006,1,13,5,2029,2015,2305,2320,US,63,N672AW,336,365,307,-15,14,BOS,LAS,2381,4,25,0,NA,0,0,0,0,0,0
2006,1,13,5,724,725,1001,1031,US,67,N672AW,337,366,312,-30,-1,BOS,LAS,2381,5,20,0,NA,0,0,0,0,0,0
2006,1,13,5,556,600,703,708,US,2115,N737UW,67,68,46,-5,-4,BOS,LGA,185,7,14,0,NA,0,0,0,0,0,0
2006,1,13,5,656,700,812,809,US,2117,N751UW,76,69,55,3,-4,BOS,LGA,185,10,11,0,NA,0,0,0,0,0,0
2006,1,13,5,805,800,953,911,US,2119,N762UW,108,71,82,42,5,BOS,LGA,185,7,19,0,NA,0,0,0,42,0,0
2006,1,13,5,904,900,1038,1009,US,2121,N713UW,94,69,49,29,4,BOS,LGA,185,6,39,0,NA,0,0,0,29,0,0
2006,1,13,5,955,1000,1134,1106,US,2123,N749UW,99,66,42,28,-5,BOS,LGA,185,5,52,0,NA,0,0,0,28,0,0
2006,1,13,5,1100,1100,1224,1207,US,2125,N722UW,84,67,44,17,0,BOS,LGA,185,5,35,0,NA,0,0,0,17,0,0
2006,1,13,5,1155,1200,1301,1306,US,2127,N752UW,66,66,40,-5,-5,BOS,LGA,185,6,20,0,NA,0,0,0,0,0,0
2006,1,13,5,NA,1300,NA,1406,US,2129,0,NA,66,NA,NA,NA,BOS,LGA,185,0,0,1,B,0,0,0,0,0,0
2006,1,13,5,1354,1400,1515,1506,US,2131,N749UW,81,66,42,9,-6,BOS,LGA,185,8,31,0,NA,0,0,0,0,0,0
2006,1,13,5,1454,1500,1558,1607,US,2133,N748UW,64,67,42,-9,-6,BOS,LGA,185,4,18,0,NA,0,0,0,0,0,0
2006,1,13,5,1618,1600,1720,1707,US,2135,N753UW,62,67,39,13,18,BOS,LGA,185,4,19,0,NA,0,0,0,0,0,0
2006,1,13,5,1702,1700,1803,1810,US,2137,N722UW,61,70,41,-7,2,BOS,LGA,185,7,13,0,NA,0,0,0,0,0,0
2006,1,13,5,1802,1800,1908,1912,US,2139,N770UW,66,72,42,-4,2,BOS,LGA,185,5,19,0,NA,0,0,0,0,0,0
