Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,3,7,5,1953,1950,2148,2145,WN,2271,N298WN,55,55,40,3,3,ABQ,AMA,277,5,10,0,NA,0,NA,NA,NA,NA,NA
2008,3,7,5,900,900,1440,1435,WN,213,N216WR,220,215,209,5,0,ABQ,BWI,1670,5,6,0,NA,0,NA,NA,NA,NA,NA
2008,3,7,5,1429,1430,1703,1705,WN,45,N773SA,94,95,81,-2,-1,ABQ,DAL,580,3,10,0,NA,0,NA,NA,NA,NA,NA
2008,3,7,5,2020,2020,2245,2245,WN,375,N214WN,85,85,77,0,0,ABQ,DAL,580,2,6,0,NA,0,NA,NA,NA,NA,NA
2008,3,7,5,1620,1555,1858,1830,WN,720,N525SW,98,95,82,28,25,ABQ,DAL,580,4,12,0,NA,0,10,0,3,0,15
2008,3,7,5,615,615,842,850,WN,1118,N285WN,87,95,76,-8,0,ABQ,DAL,580,4,7,0,NA,0,NA,NA,NA,NA,NA
2008,3,7,5,1056,1100,1330,1335,WN,1295,N758SW,94,95,84,-5,-4,ABQ,DAL,580,3,7,0,NA,0,NA,NA,NA,NA,NA
2008,3,7,5,926,920,1159,1155,WN,1508,N438WN,93,95,83,4,6,ABQ,DAL,580,2,8,0,NA,0,NA,NA,NA,NA,NA
2008,3,7,5,1854,1900,2127,2135,WN,2038,N388SW,93,95,77,-8,-6,ABQ,DAL,580,4,12,0,NA,0,NA,NA,NA,NA,NA
2008,3,7,5,1817,1745,2055,2020,WN,3060,N204WN,98,95,86,35,32,ABQ,DAL,580,3,9,0,NA,0,0,0,3,0,32
